log_file_path,iteration_no,tor_status,location,codec,caller_pesq_raw,caller_pesq_mos,callee_pesq_raw,callee_pesq_mos,caller_jitter_mean,caller_jitter_median,caller_jitter_max,caller_jitter_range,caller_jitter_iqr,caller_jitter_std_dev,callee_jitter_mean,callee_jitter_median,callee_jitter_max,callee_jitter_range,callee_jitter_iqr,callee_jitter_std_dev
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/10SauPaul-malaysia/caller/log.json,37,Tor,10SauPaul-malaysia,g711,3.274,3.23,2.879,2.645,24.4934903417533,24.055,45.804,45.804,2.12575,3.58911335670347,31.2549765739385,30.583,59.719,59.719,3.22925,5.04886507097836
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/10SauPaul-malaysia/caller/log.json,38,Tor,10SauPaul-malaysia,g711,2.888,2.659,2.012,1.641,28.7908203414996,28.002,54.51,54.51,4.1305,4.8414185830577,33.1077521929825,31.9755,110.859,110.859,3.9285,8.28379233419008
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/10SauPaul-malaysia/caller/log.json,39,Tor,10SauPaul-malaysia,g711,3.243,3.185,2.815,2.553,24.6601801334322,24.171,43.165,43.165,2.204,3.62340671986836,33.7130424597365,32.823,72.125,72.125,3.97375,6.00542947072615
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/10SauPaul-malaysia/caller/log.json,40,Tor,10SauPaul-malaysia,g711,3.145,3.038,2.953,2.754,26.2815730170497,25.71,49.199,49.199,2.647,4.02831816726527,32.8711129860602,32.182,64.918,64.918,4.3855,5.19898989190999
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/10SauPaul-malaysia/caller/log.json,41,Tor,10SauPaul-malaysia,g711,3.058,2.908,2.888,2.658,24.9769546805349,24.4255,46.461,46.461,2.46225,3.78103154196903,30.9298045387994,30.0995,65.676,65.676,2.89375,5.12283987524575
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/10SauPaul-malaysia/caller/log.json,42,Tor,10SauPaul-malaysia,g711,3.013,2.842,3.03,2.867,26.8196525297619,26.3315,45.37,45.37,2.98225,3.77078347363148,33.2150219298246,32.2965,65.493,65.493,4.11975,5.43202841059448
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/10SauPaul-malaysia/caller/log.json,43,Tor,10SauPaul-malaysia,g711,3.143,3.035,2.806,2.54,24.9967451564829,24.185,51.609,51.609,2.2495,4.29175632319578,30.9438013100437,30.351,59.871,59.871,3.02175,4.89856809516069
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/10SauPaul-malaysia/caller/log.json,44,Tor,10SauPaul-malaysia,g711,2.996,2.816,2.768,2.487,25.0833353204173,24.326,45.489,45.489,2.383,3.93440120974889,31.1380117130308,30.502,65.556,65.556,3.1755,5.1263056207252
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/10SauPaul-malaysia/caller/log.json,45,Tor,10SauPaul-malaysia,g711,2.967,2.774,2.768,2.487,25.1578895478132,24.228,68.573,68.573,2.791,4.85745861528594,31.205880934989,30.755,58.792,58.792,3.688,4.7664108747458
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/10SauPaul-malaysia/caller/log.json,46,Tor,10SauPaul-malaysia,g711,3.146,3.039,2.789,2.516,25.8686367013373,25.699,40.272,40.272,2.8245,3.15284138555818,31.321517190929,30.481,62.107,62.107,3.5175,5.42396133672102
